13:03:45: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 49] Logger initialized
13:03:54: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 1.2222222222222223
13:03:54: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:54: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 0.10526315789473684
13:03:54: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:55: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 1.1
13:03:55: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:55: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 2.0
13:03:55: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:56: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 2.8181818181818183
13:03:56: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:56: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 3.5652173913043477
13:03:56: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:57: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 4.25
13:03:57: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:57: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 4.88
13:03:57: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:58: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 3.923076923076923
13:03:58: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:58: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 3.037037037037037
13:03:58: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:59: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 2.2142857142857144
13:03:59: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:03:59: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 1.4482758620689655
13:03:59: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:04:00: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 0.7333333333333333
13:04:00: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
13:04:00: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 77] current velocity: 0.06451612903225806
13:04:00: [INFO] [C:\Users\Andre\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 139] TARGET NOT IN SIGHT, TURNING
